[2026-06-12 14:54:53] INFO     ==================================================
[2026-06-12 14:54:53] INFO     Liar's Deck Server started on 0.0.0.0:12345
[2026-06-12 14:54:53] INFO     ==================================================
[2026-06-12 14:55:03] INFO     ACCEPT   addr=127.0.0.1:54763
[2026-06-12 14:55:03] INFO     CONNECT  player=aeed67e95b8a user=p addr=127.0.0.1:54763
[2026-06-12 14:55:03] INFO     LOBBY    player=aeed67e95b8a joined queue
[2026-06-12 14:55:12] INFO     ACCEPT   addr=127.0.0.1:54765
[2026-06-12 14:55:12] INFO     CONNECT  player=1c16a4202a02 user=q addr=127.0.0.1:54765
[2026-06-12 14:55:12] INFO     LOBBY    player=1c16a4202a02 joined queue
[2026-06-12 14:55:22] INFO     MATCH    room=07c8b075c872 players=['aeed67e95b8a', '1c16a4202a02'] (2 players)
[2026-06-12 14:55:30] WARNING  INVALID  player=1c16a4202a02 reason=Must play 1-3 cards raw={"type":"PLAY_CARDS","card_indices":[0,1,2,3,4],"claimed_type":"KING"}
[2026-06-12 14:55:35] INFO     PLAY     room=07c8b075c872 player=1c16a4202a02 cards=['KING', 'ACE', 'QUEEN'] claimed=KING
[2026-06-12 14:55:43] INFO     PLAY     room=07c8b075c872 player=aeed67e95b8a cards=['KING', 'ACE', 'KING'] claimed=KING
[2026-06-12 14:55:47] INFO     PLAY     room=07c8b075c872 player=1c16a4202a02 cards=['KING', 'QUEEN'] claimed=KING
[2026-06-12 14:55:49] INFO     LIAR     room=07c8b075c872 caller=aeed67e95b8a target=1c16a4202a02
[2026-06-12 14:55:49] INFO     REVEAL   room=07c8b075c872 player=1c16a4202a02 cards=['KING', 'QUEEN'] lying=True
[2026-06-12 14:55:51] INFO     ROULET   room=07c8b075c872 player=1c16a4202a02 result=SURVIVED pull=1
[2026-06-12 14:56:14] INFO     PLAY     room=07c8b075c872 player=aeed67e95b8a cards=['ACE', 'ACE'] claimed=KING
[2026-06-12 14:56:21] INFO     PLAY     room=07c8b075c872 player=aeed67e95b8a cards=['QUEEN', 'ACE', 'QUEEN'] claimed=ACE
[2026-06-12 14:56:24] INFO     LIAR     room=07c8b075c872 caller=1c16a4202a02 target=aeed67e95b8a
[2026-06-12 14:56:24] INFO     REVEAL   room=07c8b075c872 player=aeed67e95b8a cards=['QUEEN', 'ACE', 'QUEEN'] lying=True
[2026-06-12 14:56:26] INFO     ROULET   room=07c8b075c872 player=aeed67e95b8a result=SURVIVED pull=1
[2026-06-12 14:56:32] INFO     PLAY     room=07c8b075c872 player=aeed67e95b8a cards=['KING', 'KING'] claimed=ACE
[2026-06-12 14:56:36] INFO     LIAR     room=07c8b075c872 caller=1c16a4202a02 target=aeed67e95b8a
[2026-06-12 14:56:36] INFO     REVEAL   room=07c8b075c872 player=aeed67e95b8a cards=['KING', 'KING'] lying=True
[2026-06-12 14:56:38] INFO     ROULET   room=07c8b075c872 player=aeed67e95b8a result=SURVIVED pull=2
[2026-06-12 14:56:44] INFO     PLAY     room=07c8b075c872 player=1c16a4202a02 cards=['ACE', 'ACE'] claimed=ACE
[2026-06-12 14:56:57] INFO     PLAY     room=07c8b075c872 player=1c16a4202a02 cards=['KING', 'QUEEN', 'QUEEN'] claimed=ACE
[2026-06-12 14:57:11] INFO     PLAY     room=07c8b075c872 player=1c16a4202a02 cards=['QUEEN'] claimed=QUEEN
[2026-06-12 14:57:13] INFO     LIAR     room=07c8b075c872 caller=aeed67e95b8a target=1c16a4202a02
[2026-06-12 14:57:13] INFO     REVEAL   room=07c8b075c872 player=1c16a4202a02 cards=['QUEEN'] lying=False
[2026-06-12 14:57:14] INFO     ROULET   room=07c8b075c872 player=aeed67e95b8a result=SURVIVED pull=3
[2026-06-12 14:57:20] INFO     PLAY     room=07c8b075c872 player=aeed67e95b8a cards=['KING'] claimed=QUEEN
[2026-06-12 14:57:22] INFO     LIAR     room=07c8b075c872 caller=1c16a4202a02 target=aeed67e95b8a
[2026-06-12 14:57:22] INFO     REVEAL   room=07c8b075c872 player=aeed67e95b8a cards=['KING'] lying=True
[2026-06-12 14:57:23] INFO     ROULET   room=07c8b075c872 player=aeed67e95b8a result=SURVIVED pull=4
[2026-06-12 14:57:29] INFO     PLAY     room=07c8b075c872 player=aeed67e95b8a cards=['QUEEN'] claimed=QUEEN
[2026-06-12 14:57:31] INFO     LIAR     room=07c8b075c872 caller=1c16a4202a02 target=aeed67e95b8a
[2026-06-12 14:57:31] INFO     REVEAL   room=07c8b075c872 player=aeed67e95b8a cards=['QUEEN'] lying=False
[2026-06-12 14:57:32] INFO     ROULET   room=07c8b075c872 player=1c16a4202a02 result=DEAD pull=2
[2026-06-12 14:57:32] INFO     GAMEOVER room=07c8b075c872 winner=aeed67e95b8a loser=1c16a4202a02
[2026-06-12 14:57:35] INFO     LOBBY    player=1c16a4202a02 joined queue
[2026-06-12 14:57:37] INFO     LOBBY    player=aeed67e95b8a joined queue
[2026-06-12 14:57:48] INFO     MATCH    room=c2ca38886f88 players=['1c16a4202a02', 'aeed67e95b8a'] (2 players)
[2026-06-12 14:58:06] INFO     DISCONN  player=1c16a4202a02 reason=connection_lost
[2026-06-12 14:58:10] INFO     DISCONN  player=aeed67e95b8a reason=connection_lost
[2026-06-12 14:59:06] INFO     GAMEOVER room=c2ca38886f88 winner=aeed67e95b8a loser=1c16a4202a02
[2026-06-12 14:59:50] INFO     ACCEPT   addr=127.0.0.1:50701
[2026-06-12 14:59:50] INFO     CONNECT  player=7bc14c899bfd user=q addr=127.0.0.1:50701
[2026-06-12 14:59:50] INFO     LOBBY    player=7bc14c899bfd joined queue
[2026-06-12 14:59:53] INFO     ACCEPT   addr=127.0.0.1:50702
[2026-06-12 14:59:53] INFO     CONNECT  player=ce0ab2270d2a user=w addr=127.0.0.1:50702
[2026-06-12 14:59:53] INFO     LOBBY    player=ce0ab2270d2a joined queue
[2026-06-12 14:59:56] INFO     ACCEPT   addr=127.0.0.1:50704
[2026-06-12 14:59:56] INFO     CONNECT  player=3d1b22aadebd user=e addr=127.0.0.1:50704
[2026-06-12 14:59:56] INFO     LOBBY    player=3d1b22aadebd joined queue
[2026-06-12 14:59:59] INFO     ACCEPT   addr=127.0.0.1:50705
[2026-06-12 14:59:59] INFO     CONNECT  player=3147e0c4b4d3 user=r addr=127.0.0.1:50705
[2026-06-12 14:59:59] INFO     LOBBY    player=3147e0c4b4d3 joined queue
[2026-06-12 14:59:59] INFO     MATCH    room=ba53fa11a3e7 players=['7bc14c899bfd', 'ce0ab2270d2a', '3d1b22aadebd', '3147e0c4b4d3']
[2026-06-12 15:00:51] INFO     PLAY     room=ba53fa11a3e7 player=3d1b22aadebd cards=['KING'] claimed=ACE
[2026-06-12 15:01:00] INFO     LIAR     room=ba53fa11a3e7 caller=3147e0c4b4d3 target=3d1b22aadebd
[2026-06-12 15:01:00] INFO     REVEAL   room=ba53fa11a3e7 player=3d1b22aadebd cards=['KING'] lying=True
[2026-06-12 15:01:04] INFO     ROULET   room=ba53fa11a3e7 player=3d1b22aadebd result=DEAD pull=1
[2026-06-12 15:01:37] INFO     PLAY     room=ba53fa11a3e7 player=7bc14c899bfd cards=['QUEEN'] claimed=QUEEN
[2026-06-12 15:01:47] INFO     LIAR     room=ba53fa11a3e7 caller=ce0ab2270d2a target=7bc14c899bfd
[2026-06-12 15:01:47] INFO     REVEAL   room=ba53fa11a3e7 player=7bc14c899bfd cards=['QUEEN'] lying=False
[2026-06-12 15:01:49] INFO     ROULET   room=ba53fa11a3e7 player=ce0ab2270d2a result=SURVIVED pull=1
[2026-06-12 15:01:57] INFO     PLAY     room=ba53fa11a3e7 player=ce0ab2270d2a cards=['QUEEN'] claimed=QUEEN
[2026-06-12 15:02:02] INFO     LIAR     room=ba53fa11a3e7 caller=3147e0c4b4d3 target=ce0ab2270d2a
[2026-06-12 15:02:02] INFO     REVEAL   room=ba53fa11a3e7 player=ce0ab2270d2a cards=['QUEEN'] lying=False
[2026-06-12 15:02:04] INFO     ROULET   room=ba53fa11a3e7 player=3147e0c4b4d3 result=DEAD pull=1
