[2026-06-12 05:11:00] INFO     ==================================================
[2026-06-12 05:11:00] INFO     Liar's Deck Server started on 0.0.0.0:12345
[2026-06-12 05:11:00] INFO     ==================================================
[2026-06-12 05:11:37] INFO     ACCEPT   addr=127.0.0.1:52471
[2026-06-12 05:11:37] INFO     CONNECT  player=c556f9dec399 user=p addr=127.0.0.1:52471
[2026-06-12 05:11:37] INFO     LOBBY    player=c556f9dec399 joined queue
[2026-06-12 05:11:39] INFO     ACCEPT   addr=127.0.0.1:52474
[2026-06-12 05:11:39] INFO     CONNECT  player=273e5aa2e41b user=q addr=127.0.0.1:52474
[2026-06-12 05:11:39] INFO     LOBBY    player=273e5aa2e41b joined queue
[2026-06-12 05:11:41] INFO     ACCEPT   addr=127.0.0.1:52477
[2026-06-12 05:11:41] INFO     CONNECT  player=160e220ec855 user=r addr=127.0.0.1:52477
[2026-06-12 05:11:41] INFO     LOBBY    player=160e220ec855 joined queue
[2026-06-12 05:11:46] INFO     MATCH    room=aad1923461ab players=['c556f9dec399', '273e5aa2e41b', '160e220ec855']
[2026-06-12 05:12:16] INFO     PLAY     room=aad1923461ab player=160e220ec855 cards=['KING'] claimed=KING
[2026-06-12 05:12:28] INFO     LIAR     room=aad1923461ab caller=c556f9dec399 target=160e220ec855
[2026-06-12 05:12:28] INFO     REVEAL   room=aad1923461ab cards=['KING'] lying=False
[2026-06-12 05:12:31] INFO     ROULET   room=aad1923461ab player=c556f9dec399 result=SURVIVED pull=1
[2026-06-12 05:12:49] INFO     PLAY     room=aad1923461ab player=c556f9dec399 cards=['ACE', 'QUEEN'] claimed=QUEEN
[2026-06-12 05:13:00] INFO     LIAR     room=aad1923461ab caller=273e5aa2e41b target=c556f9dec399
[2026-06-12 05:13:00] INFO     REVEAL   room=aad1923461ab cards=['ACE', 'QUEEN'] lying=True
[2026-06-12 05:13:04] INFO     ROULET   room=aad1923461ab player=c556f9dec399 result=SURVIVED pull=2
[2026-06-12 05:13:17] INFO     PLAY     room=aad1923461ab player=c556f9dec399 cards=['KING'] claimed=KING
[2026-06-12 05:13:21] INFO     LIAR     room=aad1923461ab caller=273e5aa2e41b target=c556f9dec399
[2026-06-12 05:13:21] INFO     REVEAL   room=aad1923461ab cards=['KING'] lying=False
[2026-06-12 05:13:23] INFO     ROULET   room=aad1923461ab player=273e5aa2e41b result=SURVIVED pull=1
[2026-06-12 05:13:33] INFO     PLAY     room=aad1923461ab player=273e5aa2e41b cards=['QUEEN', 'ACE'] claimed=QUEEN
[2026-06-12 05:13:38] INFO     LIAR     room=aad1923461ab caller=160e220ec855 target=273e5aa2e41b
[2026-06-12 05:13:38] INFO     REVEAL   room=aad1923461ab cards=['QUEEN', 'ACE'] lying=True
[2026-06-12 05:13:41] INFO     ROULET   room=aad1923461ab player=273e5aa2e41b result=DEAD pull=2
[2026-06-12 05:13:41] INFO     GAMEOVER room=aad1923461ab winner=None loser=273e5aa2e41b
[2026-06-12 05:14:02] INFO     DISCONN  player=c556f9dec399 reason=connection_lost
[2026-06-12 05:14:04] INFO     DISCONN  player=273e5aa2e41b reason=connection_lost
[2026-06-12 05:14:06] INFO     DISCONN  player=160e220ec855 reason=connection_lost
[2026-06-12 05:25:13] INFO     ACCEPT   addr=127.0.0.1:60837
[2026-06-12 05:25:13] INFO     CONNECT  player=5fcdf5ab791a user=p addr=127.0.0.1:60837
