[2026-06-12 13:55:09] INFO     ==================================================
[2026-06-12 13:55:09] INFO     Liar's Deck Server started on 0.0.0.0:12345
[2026-06-12 13:55:09] INFO     ==================================================
[2026-06-12 13:56:01] INFO     ACCEPT   addr=127.0.0.1:62503
[2026-06-12 13:56:01] INFO     CONNECT  player=a3ebde918f88 user=p addr=127.0.0.1:62503
[2026-06-12 13:56:01] INFO     LOBBY    player=a3ebde918f88 joined queue
[2026-06-12 13:56:04] INFO     ACCEPT   addr=127.0.0.1:62504
[2026-06-12 13:56:04] INFO     CONNECT  player=201f00d98a8a user=q addr=127.0.0.1:62504
[2026-06-12 13:56:04] INFO     LOBBY    player=201f00d98a8a joined queue
[2026-06-12 13:56:07] INFO     ACCEPT   addr=127.0.0.1:62505
[2026-06-12 13:56:07] INFO     CONNECT  player=3dd98a108705 user=r addr=127.0.0.1:62505
[2026-06-12 13:56:07] INFO     LOBBY    player=3dd98a108705 joined queue
[2026-06-12 13:56:14] INFO     MATCH    room=bdcf4821828e players=['a3ebde918f88', '201f00d98a8a', '3dd98a108705'] (3 players)
[2026-06-12 13:56:21] INFO     PLAY     room=bdcf4821828e player=3dd98a108705 cards=['KING'] claimed=QUEEN
[2026-06-12 13:56:29] INFO     LIAR     room=bdcf4821828e caller=a3ebde918f88 target=3dd98a108705
[2026-06-12 13:56:29] INFO     REVEAL   room=bdcf4821828e player=3dd98a108705 cards=['KING'] lying=True
[2026-06-12 13:56:31] INFO     ROULET   room=bdcf4821828e player=3dd98a108705 result=SURVIVED pull=1
[2026-06-12 13:56:38] INFO     PLAY     room=bdcf4821828e player=3dd98a108705 cards=['KING'] claimed=QUEEN
[2026-06-12 13:56:40] INFO     LIAR     room=bdcf4821828e caller=a3ebde918f88 target=3dd98a108705
[2026-06-12 13:56:40] INFO     REVEAL   room=bdcf4821828e player=3dd98a108705 cards=['KING'] lying=True
[2026-06-12 13:56:42] INFO     ROULET   room=bdcf4821828e player=3dd98a108705 result=SURVIVED pull=2
[2026-06-12 13:56:44] INFO     PLAY     room=bdcf4821828e player=3dd98a108705 cards=['ACE'] claimed=QUEEN
[2026-06-12 13:56:45] INFO     LIAR     room=bdcf4821828e caller=a3ebde918f88 target=3dd98a108705
[2026-06-12 13:56:45] INFO     REVEAL   room=bdcf4821828e player=3dd98a108705 cards=['ACE'] lying=True
[2026-06-12 13:56:47] INFO     ROULET   room=bdcf4821828e player=3dd98a108705 result=SURVIVED pull=3
[2026-06-12 13:56:51] INFO     PLAY     room=bdcf4821828e player=3dd98a108705 cards=['JOKER'] claimed=QUEEN
[2026-06-12 13:56:53] INFO     LIAR     room=bdcf4821828e caller=a3ebde918f88 target=3dd98a108705
[2026-06-12 13:56:53] INFO     REVEAL   room=bdcf4821828e player=3dd98a108705 cards=['JOKER'] lying=False
[2026-06-12 13:56:55] INFO     ROULET   room=bdcf4821828e player=a3ebde918f88 result=SURVIVED pull=1
[2026-06-12 13:57:01] INFO     PLAY     room=bdcf4821828e player=a3ebde918f88 cards=['QUEEN'] claimed=QUEEN
[2026-06-12 13:57:12] INFO     PLAY     room=bdcf4821828e player=201f00d98a8a cards=['QUEEN'] claimed=QUEEN
