[2026-06-13 10:04:01] INFO     ==================================================
[2026-06-13 10:04:01] INFO     Liar's Deck Server started on 0.0.0.0:12345
[2026-06-13 10:04:01] INFO     ==================================================
[2026-06-13 10:04:21] INFO     ACCEPT   addr=127.0.0.1:52221
[2026-06-13 10:04:21] INFO     CONNECT  player=9de87ca998c8 user=q addr=127.0.0.1:52221
[2026-06-13 10:04:21] INFO     LOBBY    player=9de87ca998c8 joined queue
[2026-06-13 10:04:24] INFO     ACCEPT   addr=127.0.0.1:52222
[2026-06-13 10:04:24] INFO     CONNECT  player=022a82fa9237 user=b addr=127.0.0.1:52222
[2026-06-13 10:04:24] INFO     LOBBY    player=022a82fa9237 joined queue
[2026-06-13 10:04:27] INFO     ACCEPT   addr=127.0.0.1:52223
[2026-06-13 10:04:27] INFO     CONNECT  player=bcf17b4125cd user=k addr=127.0.0.1:52223
[2026-06-13 10:04:27] INFO     LOBBY    player=bcf17b4125cd joined queue
[2026-06-13 10:04:35] INFO     MATCH    room=367c3c0cfec8 players=['9de87ca998c8', '022a82fa9237', 'bcf17b4125cd'] (3 players)
[2026-06-13 10:05:16] INFO     PLAY     room=367c3c0cfec8 player=022a82fa9237 cards=['QUEEN'] claimed=ACE
[2026-06-13 10:06:03] INFO     DISCONN  player=022a82fa9237 reason=connection_lost
[2026-06-13 10:06:05] INFO     DISCONN  player=9de87ca998c8 reason=connection_lost
[2026-06-13 10:07:05] INFO     GAMEOVER room=367c3c0cfec8 winner=bcf17b4125cd loser=9de87ca998c8
[2026-06-13 10:07:30] INFO     DISCONN  player=bcf17b4125cd reason=connection_lost
[2026-06-13 10:09:19] INFO     ACCEPT   addr=127.0.0.1:59120
[2026-06-13 10:09:19] INFO     CONNECT  player=520df3f1a257 user=d addr=127.0.0.1:59120
[2026-06-13 10:09:19] INFO     LOBBY    player=520df3f1a257 joined queue
[2026-06-13 10:09:24] INFO     ACCEPT   addr=127.0.0.1:59121
[2026-06-13 10:09:24] INFO     CONNECT  player=76b2c64e7eba user=bj addr=127.0.0.1:59121
[2026-06-13 10:09:24] INFO     LOBBY    player=76b2c64e7eba joined queue
[2026-06-13 10:09:34] INFO     MATCH    room=c24837dc34d2 players=['520df3f1a257', '76b2c64e7eba'] (2 players)
[2026-06-13 10:09:45] INFO     DISCONN  player=520df3f1a257 reason=connection_lost
[2026-06-13 10:09:46] INFO     DISCONN  player=76b2c64e7eba reason=connection_lost
[2026-06-13 10:10:08] INFO     ACCEPT   addr=127.0.0.1:56310
[2026-06-13 10:10:08] INFO     CONNECT  player=2c8b5096e257 user=svdv addr=127.0.0.1:56310
[2026-06-13 10:10:08] INFO     LOBBY    player=2c8b5096e257 joined queue
[2026-06-13 10:10:10] INFO     ACCEPT   addr=127.0.0.1:56311
[2026-06-13 10:10:10] INFO     CONNECT  player=cc5e005b560e user=adf addr=127.0.0.1:56311
